Random number                        Result
72                                    even
7                                    odd
5                                    odd
90                                    even
86                                    even
56                                    even
57                                    odd
32                                    even
21                                    odd
34                                    even

Total even numbers:6
Total odd numbers:4

Random number                        Result
90                                    even
1                                    odd
82                                    even
58                                    even
92                                    even
8                                    even
6                                    even
36                                    even
26                                    even
2                                    even

Total even numbers:9
Total odd numbers:1

